id,title,subtitle,company,location,sublocation,hourly_rate_neto,hourly_rate_bruto,payment_type,normalized_payment_type,normalized_city,normalized_region,description,open_positions,duration,work_schedule,start_date,first_seen,last_seen
481499,DELO S STRANKAMI,DELO V BRIVNICI,"FRIZERSKE STORITVE GRIZZLY, NAZAR YAKOVENKO, S.P.","KOPER, ČEVLJARSKA ULICA 32",BARBERSHOP KOPER BY GRIZZLY,,,PO DOGOVORU,NEGOTIABLE,KOPER/CAPODISTRIA,OBALNO-KRAŠKA,"Iščejo 2 brivca (barberja) m/ž. Pridruži se njihovi ekipi. Pričakujejo: znanje moškega striženja in oblikovanja brade, prijazen in profesionalen odnos. Delovne izkušnje so zelo zaželene. Nudijo prilagodljiv urnik in sproščeno delovno vzdušje.",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,,2026-05-25T20:13:50.135668+00:00,2026-07-06T20:29:58.692635+00:00
481500,DELO V TURIZMU,DELO V TURISTIČNI AGENCIJI,DIGITALNI TURIZEM D.O.O.,"BREŽICE, CESTA SVOBODE 37",ALPEADRIABOOKER,8.0,9.3,8.00 €/h neto (9.30 €/h bruto),HOURLY,BREŽICE,POSAVSKA,"V ekipo vabijo osebi, ki bosta: prijazno in profesionalno komunicirali z gosti ter lastniki nastanitev preko klicev in sporočil, osvojili delovanje rezervacijskega sistema s Channel managerjem, spoznali delovanje spletnih prodajnih kanalov ter nadgrajevali znanje s področja turizma in prodaje ter cenili ekipno delo, saj verjamejo, da je team work = dream work!",2,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,,2026-05-25T20:13:50.135668+00:00,2026-06-14T20:09:15.561189+00:00
481501,DELO NA BENCINSKEM SERVISU,,"ACIZEJ, POSREDNIŠTVO PRI PRODAJI GORIV, ALEŠ CIZEJ S.P.","KAMNIK, PEROVO 24",PETROL,9.0,10.46,9.00 €/h neto (10.46 €/h bruto),HOURLY,KAMNIK,OSREDNJESLOVENSKA,"Iščejo polnoletni osebi za delo na bencinskem servisu, delo v avtopralnici in pomoč v strežbi. Delovni čas po dogovoru, zaželeno je delo med vikendi in čez počitnice.",2,DO 30. 9. 2026,MED VIKENDI,,2026-05-25T20:13:50.135668+00:00,2026-06-09T20:32:56.332280+00:00
481504,POMOČ V STREŽBI,,EMKO GOSTINSTVO D.O.O.,"PORTOROŽ , OBALA 14 B",PIZZERIA IN KAVARNA NAKALA,10.0,11.62,10.00 €/h neto (11.62 €/h bruto),HOURLY,PORTOROŽ/PORTOROSE,OBALNO-KRAŠKA,V piceriji in kavarni potrebujejo več oseb za delo v strežbi.,5,PO DOGOVORU,IZMENSKO,,2026-05-25T20:13:50.135668+00:00,2026-08-23T18:59:37.048068+00:00
481505,DELO NA STOJNICI,,"GORKI CHILI, PRIDELAVA IN PREDELAVA ČILIJA D.O.O.",IZOLA,,10.0,11.62,10.00 €/h neto (11.62 €/h bruto),HOURLY,IZOLA/ISOLA,OBALNO-KRAŠKA,"Podjetje išče primerno osebo za pomoč na stojnici, delo na blagajni. Delo poteka med 11.00 in 21.00.",,30. 5. 2026,MED VIKENDI,2026-05-30,2026-05-25T20:13:50.135668+00:00,2026-05-27T20:53:07.814240+00:00
481506,GRADBENA DELA,LAŽJA FIZIČNA DELA IN DELO NA TERENU,"DOMETA TADEJ BREZOVAR, S.P.","DOLENJSKA, MIRNA PEČ",,10.0,11.62,10.00 €/h neto (11.62 €/h bruto),HOURLY,,JUGOVZHODNA SLOVENIJA,"Iščejo delavni, odgovorni osebi, ki sta pripravljeni na raznoliko delo na terenu, ki zajema od montaž ograj, nadstreškov, kovinskih stopnic in konstrukcij ter lažja gradbena dela. Dela se na območju Dolenjske. Z vami se dogovorijo, kako priti na delo in vas lahko celo poberejo v dogovorjenem kraju.",4,DLJE ČASA (ZAČ. IN OBČ. DELO),DOPOLDAN,,2026-05-25T20:13:50.135668+00:00,2026-06-23T20:36:42.407673+00:00
481507,STREŽBA,,KAVARNA AVDITORIJ D.O.O.,"PORTOROŽ, SENČNA POT 8 A",,9.0,10.46,9.00 €/h neto (10.46 €/h bruto),HOURLY,PORTOROŽ/PORTOROSE,OBALNO-KRAŠKA,"Potrebujejo pomoč v strežbi za daljše občasno sodelovanje, vendar samo ob dogodkih in koncertih.",5,DLJE ČASA (ZAČ. IN OBČ. DELO),PO DOGOVORU,,2026-05-25T20:13:50.135668+00:00,2026-06-16T21:33:02.978718+00:00
481508,POMOČ V KUHINJI,DELO V STREET FOODU,"VIDAX, DRUŽBA ZA GOSTINSTVO, TRGOVINO, TRŽENJE, PROIZVODNJO, POSLOVNI INŽENIRING IN DRUGE STORITVE, D.O.O",MARIBOR,ALEXANDER BISTRO,9.0,10.46,9.00 €/h neto (10.46 €/h bruto),HOURLY,MARIBOR,PODRAVSKA,Iščejo osebo za pomoč pri pripravi hrane v food trucku na Street Food festivalu v Mariboru. Zaželene so izkušnje ali vsaj velika želja do učenja in dela.,,DO 6. 6. 2026,PO DOGOVORU,,2026-05-25T20:13:50.135668+00:00,2026-06-04T20:35:15.272714+00:00
481509,STREŽBA HRANE IN PIJAČE,,"VIDAX, DRUŽBA ZA GOSTINSTVO, TRGOVINO, TRŽENJE, PROIZVODNJO, POSLOVNI INŽENIRING IN DRUGE STORITVE, D.O.O",MARIBOR,ALEXANDER BISTRO,8.0,9.3,8.00 €/h neto (9.30 €/h bruto),HOURLY,MARIBOR,PODRAVSKA,"Za delo v prijetnem bistroju v centru mesta iščejo zanesljive, prijazne in motivirane osebe za delo v strežbi. Če uživaš v delu z ljudmi, ti dinamično okolje predstavlja izziv in rad/a ustvarjaš prijetno izkušnjo za goste, te vabijo v njihovo ekipo. Nudijo delo v urejenem in prijetnem kolektivu, dinamično delovno okolje ter možnost dolgoročnega občasnega sodelovanja.",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,,2026-05-25T20:13:50.135668+00:00,2026-08-16T18:58:24.511007+00:00
481510,POMOČ V KUHINJI,PRIPRAVA HRANE,"VIDAX, DRUŽBA ZA GOSTINSTVO, TRGOVINO, TRŽENJE, PROIZVODNJO, POSLOVNI INŽENIRING IN DRUGE STORITVE, D.O.O",MARIBOR,ALEXANDER BISTRO,8.0,9.3,8.00 €/h neto (9.30 €/h bruto),HOURLY,MARIBOR,PODRAVSKA,"V prijetnem bistroju v centru mesta iščejo zanesljivi in pridni osebi za pomoč v kuhinji. Če uživaš v dinamičnem okolju, ti je delo v kuhinji blizu, si organizirana, hitra in natančna oseba ter rad/a delaš v ekipi, te vabijo, da se jim pridružiš. Delo obsega pomoč pri pripravi jedi, skrb za urejenost in čistočo kuhinje ter podporo ekipi pri vsakodnevnem delu. Nudijo delo v prijetnem kolektivu, urejenem delovnem okolju in možnost dolgoročnega občasnega sodelovanja.",2,PO DOGOVORU,IZMENSKO,,2026-05-25T20:13:50.135668+00:00,2026-08-16T18:58:24.511007+00:00
