naselje,obcina,regija
STANKOVO,BREŽICE,POSAVSKA
STANOVIŠČE,KOBARID,GORIŠKA
STANOVNO,ORMOŽ,PODRAVSKA
STANOVSKO,POLJČANE,PODRAVSKA
STANOŠINA,PODLEHNIK,PODRAVSKA
STARA BUČKA,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
STARA CERKEV,KOČEVJE,JUGOVZHODNA SLOVENIJA
STARA CESTA,LJUTOMER,POMURSKA
STARA FUŽINA,BOHINJ,GORENJSKA
STARA GORA,BENEDIKT,PODRAVSKA
STARA GORA,MIRNA,JUGOVZHODNA SLOVENIJA
STARA GORA,NOVA GORICA,GORIŠKA
STARA GORA,SVETI JURIJ OB ŠČAVNICI,POMURSKA
STARA GORA PRI VEL.GABRU,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
STARA GORA PRI ŠENTILJU,ŠENTILJ,PODRAVSKA
STARA LIPA,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
STARA LOKA,ŠKOFJA LOKA,GORENJSKA
STARA NOVA VAS,KRIŽEVCI,POMURSKA
STARA OSELICA,GORENJA VAS - POLJANE,GORENJSKA
STARA SELA,KAMNIK,OSREDNJESLOVENSKA
STARA SUŠICA,PIVKA,PRIMORSKO-NOTRANJSKA
STARA VAS,POSTOJNA,PRIMORSKO-NOTRANJSKA
STARA VAS - BIZELJSKO,BREŽICE,POSAVSKA
STARA VRHNIKA,VRHNIKA,OSREDNJESLOVENSKA
STARE SLEMENE,SLOVENSKE KONJICE,SAVINJSKA
STARE ŽAGE,DOLENJSKE TOPLICE,JUGOVZHODNA SLOVENIJA
STARI BREG,KOČEVJE,JUGOVZHODNA SLOVENIJA
STARI DVOR,RADEČE,POSAVSKA
STARI GRAD,KRŠKO,POSAVSKA
STARI GRAD,MAKOLE,PODRAVSKA
STARI GRAD V PODBOČJU,KRŠKO,POSAVSKA
STARI KOT,LOŠKI POTOK,JUGOVZHODNA SLOVENIJA
STARI LOG,KOČEVJE,JUGOVZHODNA SLOVENIJA
STARI LOG,SLOVENSKA BISTRICA,PODRAVSKA
STARI TRG,IVANČNA GORICA,OSREDNJESLOVENSKA
STARI TRG,SLOVENJ GRADEC,KOROŠKA
STARI TRG OB KOLPI,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
STARI TRG PRI LOŽU,LOŠKA DOLINA,PRIMORSKO-NOTRANJSKA
STARIHOV VRH,SEMIČ,JUGOVZHODNA SLOVENIJA
STARO BREZJE,KOČEVJE,JUGOVZHODNA SLOVENIJA
STARO SELO,KOBARID,GORIŠKA
STAROD,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
STAROŠINCE,KIDRIČEVO,PODRAVSKA
STARŠE,STARŠE,PODRAVSKA
STAVEŠINCI,GORNJA RADGONA,POMURSKA
STAVEŠINSKI VRH,GORNJA RADGONA,POMURSKA
STAVČA VAS,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
STEBLJEVEK,KAMNIK,OSREDNJESLOVENSKA
STEGNE,MORAVČE,OSREDNJESLOVENSKA
STEHANJA VAS,TREBNJE,JUGOVZHODNA SLOVENIJA
STELNIK,KOSTEL,JUGOVZHODNA SLOVENIJA
STENICA,VITANJE,SAVINJSKA
STEPANI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
STESKE,NOVA GORICA,GORIŠKA
STIRPNIK,ŠKOFJA LOKA,GORENJSKA
STIČNA,IVANČNA GORICA,OSREDNJESLOVENSKA
STIŠKA VAS,CERKLJE NA GORENJSKEM,GORENJSKA
STOGOVCI,APAČE,POMURSKA
STOGOVCI,MAJŠPERK,PODRAVSKA
STOJANSKI VRH,BREŽICE,POSAVSKA
STOJNCI,MARKOVCI,PODRAVSKA
STOLNIK,KAMNIK,OSREDNJESLOVENSKA
STOLOVNIK,KRŠKO,POSAVSKA
STOMAŽ,AJDOVŠČINA,GORIŠKA
STOMAŽ,SEŽANA,OBALNO-KRAŠKA
STOPCE,LAŠKO,SAVINJSKA
STOPE,VELIKE LAŠČE,OSREDNJESLOVENSKA
STOPERCE,MAJŠPERK,PODRAVSKA
STOPIČE,NOVO MESTO,JUGOVZHODNA SLOVENIJA
STOPNIK,TOLMIN,GORIŠKA
STOPNIK,VRANSKO,SAVINJSKA
STOPNO,MAKOLE,PODRAVSKA
STOPNO,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
STOPČE,ŠENTJUR,SAVINJSKA
STRAHINJ,NAKLO,GORENJSKA
STRAHOMER,IG,OSREDNJESLOVENSKA
STRAHOVLJE,ZAGORJE OB SAVI,ZASAVSKA
STRAJNA,PODLEHNIK,PODRAVSKA
STRANE,POSTOJNA,PRIMORSKO-NOTRANJSKA
STRANICE,ZREČE,SAVINJSKA
STRANJE,KRŠKO,POSAVSKA
STRANJE,ŠMARJE PRI JELŠAH,SAVINJSKA
STRANJE PRI DOBRNIČU,TREBNJE,JUGOVZHODNA SLOVENIJA
STRANJE PRI VELIKEM GABRU,TREBNJE,JUGOVZHODNA SLOVENIJA
STRANJE PRI ŠKOCJANU,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
STRANSKA VAS,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
STRANSKA VAS,NOVO MESTO,JUGOVZHODNA SLOVENIJA
STRANSKA VAS OB VIŠNJICI,IVANČNA GORICA,OSREDNJESLOVENSKA
STRANSKA VAS PRI SEMIČU,SEMIČ,JUGOVZHODNA SLOVENIJA
STRANSKE MAKOLE,MAKOLE,PODRAVSKA
STRANSKI VRH,LITIJA,ZASAVSKA
STRAŠKA GORCA,ŠENTJUR,SAVINJSKA
STRAŽA,CERKNO,GORIŠKA
STRAŽA,LUKOVICA,OSREDNJESLOVENSKA
STRAŽA,STRAŽA,JUGOVZHODNA SLOVENIJA
STRAŽA,ŠENTRUPERT,JUGOVZHODNA SLOVENIJA
STRAŽA NA GORI,ŠENTJUR,SAVINJSKA
STRAŽA PRI DOLU,VOJNIK,SAVINJSKA
STRAŽA PRI KRŠKEM,KRŠKO,POSAVSKA
STRAŽA PRI MORAVČAH,MORAVČE,OSREDNJESLOVENSKA
STRAŽA PRI NOVI CERKVI,VOJNIK,SAVINJSKA
STRAŽA PRI OPLOTNICI,OPLOTNICA,PODRAVSKA
STRAŽA PRI RAKI,KRŠKO,POSAVSKA
STRAŽE,LENART,PODRAVSKA
STRAŽGONJCA,KIDRIČEVO,PODRAVSKA
STRAŽICA,VOJNIK,SAVINJSKA
STRAŽIŠČE,CERKNICA,PRIMORSKO-NOTRANJSKA
STRAŽIŠČE,PREVALJE,KOROŠKA
STRAŽIŠČE,RAVNE NA KOROŠKEM,KOROŠKA
STRAŽNJI VRH,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
STREHOVCI,DOBROVNIK/DOBRONAK,POMURSKA
STREJACI,DORNAVA,PODRAVSKA
STRELAC,ŠMARJEŠKE TOPLICE,JUGOVZHODNA SLOVENIJA
STRELCI,MARKOVCI,PODRAVSKA
STRENSKO,LAŠKO,SAVINJSKA
STREZETINA,ORMOŽ,PODRAVSKA
STRJANCI,ORMOŽ,PODRAVSKA
STRLETJE,VELIKE LAŠČE,OSREDNJESLOVENSKA
STRMCA,BLOKE,PRIMORSKO-NOTRANJSKA
STRMCA,LAŠKO,SAVINJSKA
STRMCA,POSTOJNA,PRIMORSKO-NOTRANJSKA
STRMEC,IDRIJA,GORIŠKA
STRMEC,LITIJA,ZASAVSKA
STRMEC,LUČE,SAVINJSKA
STRMEC,VELIKE LAŠČE,OSREDNJESLOVENSKA
STRMEC NA PREDELU,BOVEC,GORIŠKA
STRMEC NAD DOBRNO,DOBRNA,SAVINJSKA
STRMEC PRI DESTRNIKU,DESTRNIK,PODRAVSKA
STRMEC PRI LESKOVCU,VIDEM,PODRAVSKA
STRMEC PRI ORMOŽU,ORMOŽ,PODRAVSKA
STRMEC PRI POLENŠAKU,DORNAVA,PODRAVSKA
STRMEC PRI SV. FLORIJANU,ROGAŠKA SLATINA,SAVINJSKA
STRMICA,VRHNIKA,OSREDNJESLOVENSKA
STRMICA,ŠKOFJA LOKA,GORENJSKA
STRMO REBRO,KRŠKO,POSAVSKA
STRNIŠČE,KIDRIČEVO,PODRAVSKA
STROJIČI,OSILNICA,JUGOVZHODNA SLOVENIJA
STROJNA,RAVNE NA KOROŠKEM,KOROŠKA
STROČJA VAS,LJUTOMER,POMURSKA
STRTENICA,ŠMARJE PRI JELŠAH,SAVINJSKA
STRTENIK,SLOVENSKE KONJICE,SAVINJSKA
STRUG,MAKOLE,PODRAVSKA
STRUKOVCI,PUCONCI,POMURSKA
STRUNJAN/STRUGNANO,PIRAN/PIRANO,OBALNO-KRAŠKA
STRUŽNICA,KOSTEL,JUGOVZHODNA SLOVENIJA
STRŽIŠČE,SEVNICA,POSAVSKA
STRŽIŠČE,TOLMIN,GORIŠKA
STUDENA GORA,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
STUDENCA,KAMNIK,OSREDNJESLOVENSKA
STUDENCE,HRASTNIK,ZASAVSKA
STUDENCE,ŽALEC,SAVINJSKA
STUDENEC,POSTOJNA,PRIMORSKO-NOTRANJSKA
STUDENEC,SEVNICA,POSAVSKA
STUDENEC,TREBNJE,JUGOVZHODNA SLOVENIJA
STUDENEC NA BLOKAH,BLOKE,PRIMORSKO-NOTRANJSKA
STUDENEC PRI KRTINI,DOMŽALE,OSREDNJESLOVENSKA
STUDENICE,POLJČANE,PODRAVSKA
STUDENO,POSTOJNA,PRIMORSKO-NOTRANJSKA
STUDENO,ŽELEZNIKI,GORENJSKA
STUDENO NA BLOKAH,BLOKE,PRIMORSKO-NOTRANJSKA
STUDENČICE,MEDVODE,OSREDNJESLOVENSKA
STUDENČICE,RADOVLJICA,GORENJSKA
STUDOR,GORENJA VAS - POLJANE,GORENJSKA
STUDOR V BOHINJU,BOHINJ,GORENJSKA
SUHA,ŠKOFJA LOKA,GORENJSKA
SUHA PRI PREDOSLJAH,KRANJ,GORENJSKA
SUHADOL,LAŠKO,SAVINJSKA
SUHADOL,SLOVENSKE KONJICE,SAVINJSKA
SUHADOLE,KOMENDA,OSREDNJESLOVENSKA
SUHADOLE,LITIJA,ZASAVSKA
SUHI POTOK,KOČEVJE,JUGOVZHODNA SLOVENIJA
SUHI VRH,MORAVSKE TOPLICE,POMURSKA
SUHI VRH,PREVALJE,KOROŠKA
SUHO,DOBJE,SAVINJSKA
SUHOR,KOSTEL,JUGOVZHODNA SLOVENIJA
SUHOR,NOVO MESTO,JUGOVZHODNA SLOVENIJA
SUHOR PRI DOL. TOPLICAH,DOLENJSKE TOPLICE,JUGOVZHODNA SLOVENIJA
SUHORJE,PIVKA,PRIMORSKO-NOTRANJSKA
SUŠA,GORENJA VAS - POLJANE,GORENJSKA
SUŠA,IG,OSREDNJESLOVENSKA
SUŠA,LUKOVICA,OSREDNJESLOVENSKA
SUŠAK,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
SUŠICA,IVANČNA GORICA,OSREDNJESLOVENSKA
SUŠJE,RIBNICA,JUGOVZHODNA SLOVENIJA
SUŽID,KOBARID,GORIŠKA
SV. ANA V SLOV. GORICAH,SVETA ANA,PODRAVSKA
SV. ANDREJ,ŠKOFJA LOKA,GORENJSKA
SV. ANTON,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
SV. ANTON NA POHORJU,RADLJE OB DRAVI,KOROŠKA
SV. BARBARA,ŠKOFJA LOKA,GORENJSKA
SV. BOŠTJAN,DRAVOGRAD,KOROŠKA
SV. DANIJEL,DRAVOGRAD,KOROŠKA
SV. DUH,DRAVOGRAD,KOROŠKA
SV. DUH,ŠKOFJA LOKA,GORENJSKA
SV. DUH NA OSTREM VRHU,SELNICA OB DRAVI,PODRAVSKA
SV. EMA,PODČETRTEK,SAVINJSKA
SV. FLORIJAN,ROGAŠKA SLATINA,SAVINJSKA
SV. GREGOR,RIBNICA,JUGOVZHODNA SLOVENIJA
SV. JERNEJ NAD MUTO,MUTA,KOROŠKA
SV. JURIJ,ROGATEC,SAVINJSKA
SV. LENART,ŠKOFJA LOKA,GORENJSKA
SV. LOVRENC,PREBOLD,SAVINJSKA
SV. OŽBOLT,ŠKOFJA LOKA,GORENJSKA
SV. PETER,PIRAN/PIRANO,OBALNO-KRAŠKA
SV. PETRA HRIB,ŠKOFJA LOKA,GORENJSKA
SV. PRIMOŽ NA POHORJU,VUZENICA,KOROŠKA
SV. PRIMOŽ NAD MUTO,MUTA,KOROŠKA
SV. TOMAŽ,ŠKOFJA LOKA,GORENJSKA
SV. TRIJE KRALJI,RADLJE OB DRAVI,KOROŠKA
SV. TRIJE KRALJI V SLOV. GOR.,BENEDIKT,PODRAVSKA
SV. TROJICA,DOMŽALE,OSREDNJESLOVENSKA
SV. TROJICA V SLOV. GORICAH,SVETA TROJICA V SLOV. GORICAH,PODRAVSKA
SV. VID,VUZENICA,KOROŠKA
SV. VRH,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
SVETA ANA PRI LOŽU,LOŠKA DOLINA,PRIMORSKO-NOTRANJSKA
SVETA GORA,NOVA GORICA,GORIŠKA
SVETA PLANINA,TRBOVLJE,ZASAVSKA
SVETA TROJICA,BLOKE,PRIMORSKO-NOTRANJSKA
SVETELKA,ŠENTJUR,SAVINJSKA
SVETI ANDREJ,MORAVČE,OSREDNJESLOVENSKA
SVETI DUH,BLOKE,PRIMORSKO-NOTRANJSKA
SVETI FLORIJAN NAD ŠKOFJO LOKO,ŠKOFJA LOKA,GORENJSKA
SVETI JERNEJ,SLOVENSKE KONJICE,SAVINJSKA
SVETI JOŠT NAD KRANJEM,KRANJ,GORENJSKA
SVETI JURIJ,ROGAŠOVCI,POMURSKA
SVETI JURIJ OB ŠČAVNICI,SVETI JURIJ OB ŠČAVNICI,POMURSKA
SVETI LENART,CERKLJE NA GORENJSKEM,GORENJSKA
SVETI TOMAŽ,SVETI TOMAŽ,PODRAVSKA
SVETI VID,CERKNICA,PRIMORSKO-NOTRANJSKA
SVETI ŠTEFAN,ŠMARJE PRI JELŠAH,SAVINJSKA
SVETINA,ŠTORE,SAVINJSKA
SVETINCI,DESTRNIK,PODRAVSKA
SVETINJA,TREBNJE,JUGOVZHODNA SLOVENIJA
SVETINJE,ORMOŽ,PODRAVSKA
SVETLI DOL,ŠTORE,SAVINJSKA
SVETLI POTOK,KOČEVJE,JUGOVZHODNA SLOVENIJA
SVETO,KOMEN,OBALNO-KRAŠKA
SVEČANE,ŠENTILJ,PODRAVSKA
SVEČINA,KUNGOTA,PODRAVSKA
SVIBNIK,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
SVIBNO,RADEČE,POSAVSKA
SVINJSKO,SEVNICA,POSAVSKA
SVINO,KOBARID,GORIŠKA
SVRŽAKI,METLIKA,JUGOVZHODNA SLOVENIJA
TABOR,NOVA GORICA,GORIŠKA
TABOR,SEŽANA,OBALNO-KRAŠKA
TABOR,TABOR,SAVINJSKA
TAJHTE,ŠENTJUR,SAVINJSKA
TALČJI VRH,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
TANČA GORA,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
TATINEC,KRANJ,GORENJSKA
TATRE,HRPELJE - KOZINA,OBALNO-KRAŠKA
TAVŽLJE,CERKNICA,PRIMORSKO-NOTRANJSKA
TEHARJE,CELJE,SAVINJSKA
TEHOVEC,MEDVODE,OSREDNJESLOVENSKA
TEKAČEVO,ROGAŠKA SLATINA,SAVINJSKA
TELČE,SEVNICA,POSAVSKA
TELČICE,SEVNICA,POSAVSKA
TEMENICA,IVANČNA GORICA,OSREDNJESLOVENSKA
TEMLJINE,TOLMIN,GORIŠKA
TEMNICA,MIREN - KOSTANJEVICA,GORIŠKA
TENETIŠE,KRANJ,GORENJSKA
TENETIŠE,LITIJA,ZASAVSKA
TEPANJE,SLOVENSKE KONJICE,SAVINJSKA
TEPANJSKI VRH,SLOVENSKE KONJICE,SAVINJSKA
TEPE,LITIJA,ZASAVSKA
TER,LJUBNO,SAVINJSKA
TERBEGOVCI,SVETI JURIJ OB ŠČAVNICI,POMURSKA
TEVČE,AJDOVŠČINA,GORIŠKA
TEVČE,LAŠKO,SAVINJSKA
TEŠANOVCI,MORAVSKE TOPLICE,POMURSKA
TEŠOVA,VRANSKO,SAVINJSKA
TIBOLCI,GORIŠNICA,PODRAVSKA
TIHABOJ,LITIJA,ZASAVSKA
TINJAN,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
TINJSKA GORA,SLOVENSKA BISTRICA,PODRAVSKA
TIRNA,ZAGORJE OB SAVI,ZASAVSKA
TISOVEC,DOBREPOLJE,OSREDNJESLOVENSKA
TIŠENPOLJ,KOSTEL,JUGOVZHODNA SLOVENIJA
TIŠINA,TIŠINA,POMURSKA
TLAKA,LITIJA,ZASAVSKA
TLAKE,GROSUPLJE,OSREDNJESLOVENSKA
TLAKE,ROGATEC,SAVINJSKA
TODRAŽ,GORENJA VAS - POLJANE,GORENJSKA
TOLMIN,TOLMIN,GORIŠKA
TOLMINSKE RAVNE,TOLMIN,GORIŠKA
TOLMINSKI LOM,TOLMIN,GORIŠKA
TOLSTI VRH,LITIJA,ZASAVSKA
TOLSTI VRH,SLOVENSKE KONJICE,SAVINJSKA
TOLSTI VRH,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
TOLSTI VRH P. R. NA K. - DEL,DRAVOGRAD,KOROŠKA
TOLSTI VRH P. R. NA K. - DEL,RAVNE NA KOROŠKEM,KOROŠKA
TOLSTI VRH PRI MISLINJI,MISLINJA,KOROŠKA
TOLČANE,IVANČNA GORICA,OSREDNJESLOVENSKA
TOMAJ,SEŽANA,OBALNO-KRAŠKA
TOMAČEVICA,KOMEN,OBALNO-KRAŠKA
TOMAŠKA VAS,SLOVENJ GRADEC,KOROŠKA
TOMAŽ NAD VOJNIKOM,VOJNIK,SAVINJSKA
TOMAŽINI,VELIKE LAŠČE,OSREDNJESLOVENSKA
TOMAŽJA VAS,ŠKOCJAN,JUGOVZHODNA SLOVENIJA
TOMINJE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
TOMIŠELJ,IG,OSREDNJESLOVENSKA
TOPLA,ČRNA NA KOROŠKEM,KOROŠKA
TOPLA REBER,KOČEVJE,JUGOVZHODNA SLOVENIJA
TOPOL,BLOKE,PRIMORSKO-NOTRANJSKA
TOPOL PRI BEGUNJAH,CERKNICA,PRIMORSKO-NOTRANJSKA
TOPOL PRI MEDVODAH,MEDVODE,OSREDNJESLOVENSKA
TOPOLC,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
TOPOLE,MENGEŠ,OSREDNJESLOVENSKA
TOPOLE,ROGAŠKA SLATINA,SAVINJSKA
TOPOLJE,ŽELEZNIKI,GORENJSKA
TOPOLOVCI,CANKOVA,POMURSKA
TOPOLOVEC,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
TOPOLOVEC,ŠMARJE PRI JELŠAH,SAVINJSKA
TOPOLOVO,KOZJE,SAVINJSKA
TOPOLŠICA,ŠOŠTANJ,SAVINJSKA
TOPOVLJE,BRASLOVČE,SAVINJSKA
TORKA,ŽELEZNIKI,GORENJSKA
TOROVO,VODICE,OSREDNJESLOVENSKA
TOVSTO,LAŠKO,SAVINJSKA
TOŠKO ČELO,LJUBLJANA,OSREDNJESLOVENSKA
TRATA,ŠKOFJA LOKA,GORENJSKA
TRATA PRI VELESOVEM,CERKLJE NA GORENJSKEM,GORENJSKA
TRATE,ŠENTILJ,PODRAVSKA
TRATNA OB VOGLAJNI,ŠENTJUR,SAVINJSKA
TRATNA PRI GROBELNEM,ŠENTJUR,SAVINJSKA
TRAVA,LOŠKI POTOK,JUGOVZHODNA SLOVENIJA
TRAVNA GORA,SODRAŽICA,JUGOVZHODNA SLOVENIJA
TRAVNI DOL,NOVO MESTO,JUGOVZHODNA SLOVENIJA
TRAVNIK,CERKNO,GORIŠKA
TRAVNIK,LOŠKI POTOK,JUGOVZHODNA SLOVENIJA
TRBINC,MIRNA,JUGOVZHODNA SLOVENIJA
TRBOJE,ŠENČUR,GORENJSKA
TRBONJE,DRAVOGRAD,KOROŠKA
TRBOVLJE,TRBOVLJE,ZASAVSKA
TRDKOVA,KUZMA,POMURSKA
TRDOBOJCI,VIDEM,PODRAVSKA
TREBANJSKI VRH,TREBNJE,JUGOVZHODNA SLOVENIJA
TREBELNO,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
TREBELNO PRI PALOVČAH,KAMNIK,OSREDNJESLOVENSKA
TREBENČE,CERKNO,GORIŠKA
TREBEŠE,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
TREBEŽ,BREŽICE,POSAVSKA
TREBEŽ,IVANČNA GORICA,OSREDNJESLOVENSKA
TREBIJA,GORENJA VAS - POLJANE,GORENJSKA
TREBIŽANI,KOMEN,OBALNO-KRAŠKA
TREBNJA GORICA,IVANČNA GORICA,OSREDNJESLOVENSKA
TREBNJE,TREBNJE,JUGOVZHODNA SLOVENIJA
TREBNJI VRH,SEMIČ,JUGOVZHODNA SLOVENIJA
TREBČA VAS,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
TREBČE,BISTRICA OB SOTLI,POSAVSKA
TREMERJE,CELJE,SAVINJSKA
TRENTA,BOVEC,GORIŠKA
TRGOVIŠČE,ORMOŽ,PODRAVSKA
TRIBAN,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
TRIBEJ,DRAVOGRAD,KOROŠKA
TRIBUČE,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
TRIMLINI/HARMASMALOM,LENDAVA/LENDVA,POMURSKA
TRLIČNO,ROGATEC,SAVINJSKA
TRNAVA,BRASLOVČE,SAVINJSKA
TRNIČE,STARŠE,PODRAVSKA
TRNJAVA,LUKOVICA,OSREDNJESLOVENSKA
TRNJE,PIVKA,PRIMORSKO-NOTRANJSKA
TRNJE,TREBNJE,JUGOVZHODNA SLOVENIJA
TRNJE,ČRENŠOVCI,POMURSKA
TRNJE,ŠKOFJA LOKA,GORENJSKA
TRNO,ŠENTJUR,SAVINJSKA
TRNOV HRIB,LAŠKO,SAVINJSKA
TRNOVCI,SVETI TOMAŽ,PODRAVSKA
TRNOVEC,KOČEVJE,JUGOVZHODNA SLOVENIJA
TRNOVEC,MEDVODE,OSREDNJESLOVENSKA
TRNOVEC,METLIKA,JUGOVZHODNA SLOVENIJA
TRNOVEC,REČICA OB SAVINJI,SAVINJSKA
TRNOVEC,SEVNICA,POSAVSKA
TRNOVEC,VIDEM,PODRAVSKA
TRNOVEC PRI DRAMLJAH,ŠENTJUR,SAVINJSKA
TRNOVEC PRI SLOVENSKI BISTRICI,SLOVENSKA BISTRICA,PODRAVSKA
TRNOVICA,IVANČNA GORICA,OSREDNJESLOVENSKA
TRNOVLJE PRI CELJU,CELJE,SAVINJSKA
TRNOVLJE PRI SOCKI,VOJNIK,SAVINJSKA
TRNOVO,LAŠKO,SAVINJSKA
TRNOVO,NOVA GORICA,GORIŠKA
TRNOVO OB SOČI,KOBARID,GORIŠKA
TRNOVSKA VAS,TRNOVSKA VAS,PODRAVSKA
TRNOVSKI VRH,TRNOVSKA VAS,PODRAVSKA
TRNOVČE,LUKOVICA,OSREDNJESLOVENSKA
TROBELNO,KAMNIK,OSREDNJESLOVENSKA
TROBLJE,SLOVENJ GRADEC,KOROŠKA
TROBNI DOL,LAŠKO,SAVINJSKA
TROJANE,LUKOVICA,OSREDNJESLOVENSKA
TROJNO,LAŠKO,SAVINJSKA
TROPOVCI,TIŠINA,POMURSKA
TROTKOVA,BENEDIKT,PODRAVSKA
TROŠČINE,GROSUPLJE,OSREDNJESLOVENSKA
TRPČANE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
TRSEK,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
TRSTENIK,BENEDIKT,PODRAVSKA
TRSTENIK,KRANJ,GORENJSKA
TRSTENIK,ORMOŽ,PODRAVSKA
TRSTENIK,ŠENTRUPERT,JUGOVZHODNA SLOVENIJA
TRTNIK,TOLMIN,GORIŠKA
TRUŠKE,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
TRZIN,TRZIN,OSREDNJESLOVENSKA
TRČKOV GRIČ,VRHNIKA,OSREDNJESLOVENSKA
TRČOVA,MARIBOR,PODRAVSKA
TRŠKA GORA,KRŠKO,POSAVSKA
TRŠKA GORA,NOVO MESTO,JUGOVZHODNA SLOVENIJA
TRŠKA GORCA,ŠENTJUR,SAVINJSKA
TRŠČINA,SEVNICA,POSAVSKA
TRŽEC,VIDEM,PODRAVSKA
TRŽIČ,DOBREPOLJE,OSREDNJESLOVENSKA
TRŽIČ,TRŽIČ,GORENJSKA
TRŽIŠČE,ROGAŠKA SLATINA,SAVINJSKA
TRŽIŠČE,SEVNICA,POSAVSKA
TUBLJE PRI HRPELJAH,HRPELJE - KOZINA,OBALNO-KRAŠKA
TUBLJE PRI KOMNU,SEŽANA,OBALNO-KRAŠKA
TUJI GRM,LJUBLJANA,OSREDNJESLOVENSKA
TULJAKI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
TUNCOVEC,ROGAŠKA SLATINA,SAVINJSKA
TUNJICE,KAMNIK,OSREDNJESLOVENSKA
TUNJIŠKA MLAKA,KAMNIK,OSREDNJESLOVENSKA
TUPALIČE,PREDDVOR,GORENJSKA
TUPELČE,KOMEN,OBALNO-KRAŠKA
TURIŠKA VAS,SLOVENJ GRADEC,KOROŠKA
TURIŠKA VAS NA POHORJU,SLOVENSKA BISTRICA,PODRAVSKA
TURJAK,VELIKE LAŠČE,OSREDNJESLOVENSKA
TURJANCI,RADENCI,POMURSKA
TURJANSKI VRH,RADENCI,POMURSKA
TURJE,HRASTNIK,ZASAVSKA
TURNIŠČE,TURNIŠČE,POMURSKA
TURNO,ŠENTJUR,SAVINJSKA
TURNŠE,DOMŽALE,OSREDNJESLOVENSKA
TURŠKI VRH,ZAVRČ,PODRAVSKA
TUČNA,KAMNIK,OSREDNJESLOVENSKA
TUŠEV DOL,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
UDJE,GROSUPLJE,OSREDNJESLOVENSKA
UDMAT,LAŠKO,SAVINJSKA
UGOVEC,OPLOTNICA,PODRAVSKA
UKANC,BOHINJ,GORENJSKA
UKANJE,KANAL,GORIŠKA
ULAKA,BLOKE,PRIMORSKO-NOTRANJSKA
ULAKA,VELIKE LAŠČE,OSREDNJESLOVENSKA
UNEC,CERKNICA,PRIMORSKO-NOTRANJSKA
UNIČNO,HRASTNIK,ZASAVSKA
UNIŠE,ŠENTJUR,SAVINJSKA
URH,SLOVENSKA BISTRICA,PODRAVSKA
URŠLJA GORA,RAVNE NA KOROŠKEM,KOROŠKA
URŠNA SELA,NOVO MESTO,JUGOVZHODNA SLOVENIJA
USTJE,AJDOVŠČINA,GORIŠKA
UTIK,VODICE,OSREDNJESLOVENSKA
UTOVLJE,SEŽANA,OBALNO-KRAŠKA
UZMANI,VELIKE LAŠČE,OSREDNJESLOVENSKA
UČAK,LUKOVICA,OSREDNJESLOVENSKA
UČAKOVCI,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
V ZIDEH,LUKOVICA,OSREDNJESLOVENSKA
VADARCI,PUCONCI,POMURSKA
VADIČE,TRŽIČ,GORENJSKA
VAJGEN,PESNICA,PODRAVSKA
VALBURGA,MEDVODE,OSREDNJESLOVENSKA
VALE,KOMEN,OBALNO-KRAŠKA
VALIČNA VAS,IVANČNA GORICA,OSREDNJESLOVENSKA
VALTERSKI VRH,ŠKOFJA LOKA,GORENJSKA
VANETINA,CERKVENJAK,PODRAVSKA
VANEČA,PUCONCI,POMURSKA
